weight,height,size
62,172.72,XL
59,167.64,L
61,165.1,M
65,175.26,L
62,172.72,M
50,160.02,S
53,160.02,M
51,160.02,XXS
54,167.64,M
53,165.1,S
63,170.18,XXXL
77,172.72,XXXL
64,165.1,L
52,160.02,M
65,165.1,L
63,167.64,L
54,167.64,XXS
63,172.72,M
63,167.64,M
54,167.64,S
55,154.94,S
55,160.02,M
55,165.1,S
50,160.02,M
74,177.8,XL
64,160.02,XL
58,167.64,XXS
54,165.1,M
58,154.94,XL
65,172.72,L
47,157.48,S
61,165.1,M
58,172.72,M
86,172.72,XXXL
68,162.56,XL
65,170.18,L
65,170.18,L
54,157.48,M
52,154.94,M
52,170.18,S
58,162.56,XXXL
78,175.26,XXXL
61,172.72,L
49,167.64,S
61,162.56,M
64,162.56,XXXL
63,167.64,S
56,157.48,M
50,170.18,S
77,172.72,XXXL
58,165.1,L
65,165.1,L
61,167.64,XL
56,175.26,M
81,165.1,XXXL
49,162.56,M
58,162.56,L
72,162.56,L
63,172.72,M
58,157.48,XL
65,165.1,XL
60,167.64,XL
68,167.64,L
70,175.26,XL
63,157.48,XL
58,165.1,S
79,167.64,XXXL
49,157.48,M
56,157.48,S
59,175.26,S
50,154.94,XXS
53,162.56,S
56,165.1,M
113,167.64,XXXL
88,162.56,XXXL
68,165.1,XL
74,157.48,XXXL
104,154.94,XXXL
58,162.56,S
61,172.72,M
61,154.94,XXXL
54,160.02,S
65,167.64,L
70,167.64,XXXL
54,162.56,M
52,172.72,XXS
63,167.64,L
70,147.32,XXXL
79,170.18,XXXL
49,167.64,S
57,157.48,M
95,172.72,XXXL
72,170.18,XXXL
58,170.18,M
74,170.18,XL
54,170.18,S
77,167.64,XL
63,167.64,M
99,172.72,XXXL
62,177.8,M
81,185.42,XXXL
56,162.56,L
55,170.18,S
61,170.18,XL
65,167.64,XL
61,170.18,M
65,167.64,L
58,162.56,L
72,175.26,XXXL
63,162.56,XL
65,170.18,L
63,175.26,M
80,170.18,XXXL
63,162.56,L
58,180.34,XL
71,170.18,XL
53,160.02,M
81,162.56,XXXL
83,162.56,XXXL
63,172.72,M
54,157.48,S
95,160.02,XXXL
56,165.1,M
61,165.1,S
74,157.48,XXXL
70,154.94,L
72,170.18,XXXL
62,162.56,L
59,160.02,L
52,157.48,XXS
90,162.56,XXXL
72,167.64,XXXL
63,165.1,XL
63,172.72,M
47,154.94,XXS
58,157.48,M
65,167.64,L
62,157.48,M
62,175.26,M
63,157.48,XL
68,167.64,XL
59,162.56,M
56,172.72,S
58,160.02,M
58,157.48,M
65,172.72,L
65,180.34,XL
68,162.56,XL
65,172.72,L
77,172.72,XXXL
53,157.48,XXS
58,175.26,M
54,152.4,M
53,167.64,S
54,162.56,S
66,170.18,L
52,165.1,S
53,170.18,S
58,160.02,L
56,162.56,M
56,170.18,L
56,162.56,M
63,172.72,XL
65,152.4,XXXL
58,167.64,L
63,175.26,XL
54,162.56,M
58,167.64,M
70,170.18,XL
58,167.64,M
46,152.4,XXS
58,157.48,S
79,162.56,XXXL
54,165.1,S
61,162.56,M
54,154.94,S
58,170.18,M
72,177.8,L
58,167.64,L
56,165.1,S
62,162.56,M
61,154.94,XXXL
63,172.72,M
61,162.56,M
64,162.56,L
50,154.94,XXS
54,162.56,M
56,175.26,S
61,175.26,S
52,167.64,XXS
65,175.26,M
65,160.02,L
50,160.02,L
53,152.4,S
68,162.56,XL
52,157.48,S
95,175.26,XXXL
65,177.8,XL
58,160.02,S
61,160.02,M
73,167.64,XXXL
59,162.56,M
74,167.64,XXXL
90,165.1,XXXL
70,157.48,XXXL
65,162.56,XL
53,165.1,S
58,160.02,L
49,160.02,XXS
50,165.1,S
53,167.64,M
54,165.1,M
77,167.64,XXXL
54,157.48,M
65,172.72,XXXL
65,172.72,L
68,170.18,XL
78,167.64,XXXL
58,180.34,XXS
58,157.48,L
68,170.18,XXXL
70,165.1,XXXL
65,175.26,L
48,152.4,XXS
54,157.48,S
55,170.18,M
55,157.48,L
61,160.02,XL
61,172.72,M
65,175.26,M
60,170.18,M
58,167.64,XL
68,162.56,M
112,175.26,XXXL
61,162.56,XL
54,165.1,S
58,172.72,M
68,167.64,XL
58,162.56,M
58,170.18,S
79,177.8,L
56,170.18,S
49,157.48,S
69,175.26,XXXL
61,167.64,M
69,172.72,XL
72,175.26,XL
61,160.02,L
54,167.64,XXS
60,170.18,XL
50,162.56,XXS
66,162.56,L
58,162.56,L
61,162.56,L
52,167.64,XXS
64,175.26,L
54,167.64,S
52,154.94,S
68,180.34,XL
56,167.64,S
70,160.02,XL
55,162.56,S
70,162.56,XXXL
77,160.02,XXXL
56,167.64,M
72,175.26,XL
83,165.1,XXXL
68,160.02,XL
56,165.1,M
59,154.94,XL
77,175.26,XXXL
79,177.8,XXXL
77,162.56,L
54,165.1,S
61,177.8,M
63,165.1,XL
61,157.48,M
46,152.4,XXS
81,170.18,XXXL
58,162.56,M
52,165.1,S
61,170.18,M
53,170.18,XL
61,167.64,L
54,165.1,S
58,167.64,S
65,165.1,L
81,180.34,XXXL
54,165.1,XXS
74,170.18,XXXL
56,165.1,L
52,167.64,XXS
56,180.34,M
81,162.56,XXXL
63,170.18,M
54,160.02,L
61,162.56,L
61,165.1,L
65,160.02,L
50,162.56,XXS
58,170.18,S
58,175.26,S
52,160.02,M
58,160.02,M
90,170.18,XXXL
70,180.34,M
65,162.56,XL
55,162.56,S
58,167.64,XL
70,175.26,S
52,172.72,XXS
58,162.56,M
68,162.56,XXXL
57,165.1,S
65,165.1,XXXL
54,152.4,M
58,172.72,M
63,162.56,L
77,167.64,XXXL
65,170.18,XL
62,172.72,L
58,162.56,M
